greeter,screener,dispenser,medic,resources,throughput,time,scenario,forms
4,6,5,2,17,134,29.4019956332,prescreen10,428.8
12,6,16,5,39,410,28.8125073148,prescreen10,1312
22,6,16,1,45,781.333333333,27.9317461437,prescreen10,2500.2666666656
22,6,16,5,49,776.666666667,26.9778185205,prescreen10,2485.3333333344
22,10,14,7,53,783,26.5860639734,prescreen10,2505.6
27,14,15,5,61,927,26.7963558428,prescreen10,2966.4
29,12,16,7,64,1006,26.5863365314,prescreen10,3219.2
35,10,14,7,66,1072.66666667,28.850058548,prescreen10,3432.533333344
31,10,21,6,68,1081.33333333,26.5508456379,prescreen10,3460.266666656
29,17,21,5,72,1001.66666667,26.3213081536,prescreen10,3205.333333344
35,10,21,7,73,1201,26.1622937802,prescreen10,3843.2
40,11,21,11,83,1376.33333333,25.8407146307,prescreen10,4404.266666656
40,12,27,6,85,1353.33333333,25.6218534942,prescreen10,4330.666666656
52,10,21,4,87,1571,28.8782365625,prescreen10,5027.2
52,10,23,2,87,1707,36.3523750712,prescreen10,5462.4
52,10,21,5,88,1551.66666667,28.7083246223,prescreen10,4965.333333344
45,12,27,6,90,1568,25.1872450521,prescreen10,5017.6
54,14,21,7,96,1578,28.6974469282,prescreen10,5049.6
55,12,27,6,100,1890.33333333,24.4242990595,prescreen10,6049.066666656
55,10,30,7,102,1911.66666667,24.5580911493,prescreen10,6117.333333344
55,15,30,11,111,1913,24.0864384076,prescreen10,6121.6
60,27,39,22,148,2058.33333333,23.8502118086,prescreen10,6586.666666656
1,6,10,5,22,35,27.0007685961,prescreen10,112
3,9,6,9,27,109.333333333,29.1967192423,prescreen10,349.8666666656
3,9,10,5,27,109.333333333,29.1967192423,prescreen10,349.8666666656
6,9,6,9,30,216.333333333,28.8408224982,prescreen10,692.2666666656
9,15,4,7,35,292.333333333,31.4318457307,prescreen10,935.4666666656
9,9,16,5,39,320.333333333,28.6397468906,prescreen10,1025.0666666656
11,13,10,5,39,394.666666667,28.8005173684,prescreen10,1262.9333333344
29,15,14,4,62,1008,27.2920951247,prescreen10,3225.6
37,9,16,2,64,1204.33333333,31.325020021,prescreen10,3853.866666656
29,15,14,8,66,1011.33333333,26.8771659059,prescreen10,3236.266666656
37,9,16,5,67,1186,28.7062709675,prescreen10,3795.2
37,12,16,7,72,1188,28.1665856003,prescreen10,3801.6
29,6,26,12,73,1028.66666667,26.0954965125,prescreen10,3291.733333344
39,13,19,7,78,1335.33333333,26.057492578,prescreen10,4273.066666656
29,7,35,9,80,1005,26.0100546664,prescreen10,3216
39,13,22,7,81,1356.33333333,25.679287364,prescreen10,4340.266666656
