greeter	screener	dispenser	medic	resources	throughput	time
4	1	14	1	20	435.0	52.3551302142
4	1	14	3	22	435.666666667	51.4414665927
7	1	14	1	23	650.0	46.79109129
8	1	14	1	24	669.666666667	48.4325709446
7	1	14	3	25	647.0	46.5337840986
4	6	14	1	25	1046.0	53.5901599942
9	1	14	2	26	752.333333333	43.7876252361
4	6	14	2	26	1048.33333333	46.6749267835
5	6	14	1	26	1058.33333333	61.7177413417
9	1	14	3	27	753.666666667	43.688800936
4	6	14	3	27	1096.66666667	45.0424955917
4	6	14	4	28	1073.66666667	44.5773377481
8	6	14	1	29	1103.0	60.9004335087
4	6	14	6	30	1073.33333333	44.5037371243
16	1	14	1	32	1079.66666667	35.059892318
4	10	14	4	32	1103.33333333	43.1413652563
8	6	14	4	32	1111.66666667	48.8388843776
8	6	14	5	33	1107.66666667	48.7871578813
4	10	14	6	34	1094.0	42.2998971775
4	6	25	1	36	1347.66666667	46.1585925622
4	6	25	2	37	1351.66666667	41.0180756546
5	6	25	1	37	1436.66666667	50.7009462852
4	6	25	3	38	1371.66666667	38.8386811534
5	6	25	2	38	1449.0	42.3752446759
4	6	25	4	39	1371.0	38.1896434854
5	6	25	3	39	1432.66666667	42.1230401474
7	6	25	1	39	1546.66666667	45.1834008547
5	6	25	4	40	1433.0	39.7020787974
7	6	25	2	40	1545.33333333	42.7075941195
4	10	25	1	40	1876.0	43.7351029326
4	6	25	6	41	1373.66666667	38.1806815572
4	10	25	2	41	1877.66666667	38.5422612559
4	10	27	1	42	2055.0	43.4791647215
4	10	25	4	43	1862.0	31.677448306
4	10	27	2	43	2045.66666667	37.8928499331
4	10	25	5	44	1909.0	31.112815897
4	10	27	3	44	2006.33333333	35.7598313774
18	1	25	1	45	1322.33333333	30.4491333645
4	10	25	6	45	1915.33333333	31.0199667225
4	10	27	4	45	2045.33333333	32.7327512812
4	10	27	5	46	2053.0	31.0721880068
4	10	27	6	47	2066.0	28.9677919688
4	10	27	7	48	2049.33333333	28.7445539088
4	14	27	3	48	2085.33333333	31.7908750996
4	10	34	1	49	2096.0	39.6058941374
22	1	25	2	50	1421.66666667	28.4413473197
8	12	27	3	50	2101.66666667	43.6319879259
4	14	27	6	51	2064.0	28.2131708065
4	10	34	3	51	2143.66666667	32.9179311431
4	12	34	1	51	2413.0	41.9382849545
5	12	34	1	52	2487.0	47.3708997361
24	1	27	1	53	1390.0	27.2398149136
4	10	34	5	53	2123.0	28.0200311021
4	12	34	3	53	2402.0	28.383084664
5	12	34	2	53	2521.66666667	38.003283598
4	10	34	6	54	2110.33333333	27.8636486674
5	12	34	3	54	2461.66666667	31.7831706383
5	14	34	1	54	2541.66666667	42.5617061208
7	12	34	1	54	2548.33333333	48.0780350324
4	10	34	7	55	2113.66666667	27.8389364515
5	12	34	4	55	2476.0	29.0718629316
7	12	34	2	55	2577.0	43.3357682686
4	12	34	6	56	2410.66666667	24.6030467863
9	12	34	1	56	2588.0	47.7794114588
4	12	34	7	57	2420.33333333	24.4034162131
5	12	34	6	57	2473.0	28.6454160607
5	14	34	4	57	2551.0	34.2593416532
8	12	34	3	57	2553.66666667	43.0095476665
5	13	38	1	57	2677.66666667	43.2116678583
4	14	34	6	58	2434.0	23.9376072025
