greeter	screener	dispenser	medic	resources	throughput	time
1	33	5	1	40	385.0	39.7008642288
1	33	5	2	41	375.0	37.7362909203
4	6	25	7	42	1872.33333333	23.7639858392
15	1	27	6	49	2015.33333333	40.4321304019
12	6	38	1	57	2842.33333333	40.8214190435
24	1	27	6	58	2007.33333333	39.93875455
15	6	38	1	60	2896.33333333	34.3712180133
17	27	26	7	77	2054.66666667	18.9984258336
15	3	55	5	78	4042.66666667	23.3097590021
9	12	34	24	79	2633.0	17.1886999149
22	14	41	6	83	3117.33333333	13.809303099
12	26	41	6	85	3132.33333333	15.1042601606
15	26	41	6	88	3146.0	13.2309294916
8	29	52	1	90	3831.66666667	22.35024303
18	13	57	7	95	4272.0	8.05250684945
18	13	57	14	102	4297.66666667	8.10179247069
16	26	60	21	123	4456.33333333	6.84851619077
13	37	60	23	133	4519.33333333	6.18534626302
