greeter	screener	dispenser	medic	resources	throughput	time
4	5	12	1	22	926.0	53.1983241924
4	5	15	1	25	1130.66666667	56.5638655878
4	5	15	3	27	1138.0	43.5103409171
5	5	15	3	28	1149.0	43.5032376983
6	5	15	3	29	1158.66666667	44.6340771827
6	6	15	3	30	1174.33333333	48.7424156064
9	6	15	1	31	1189.0	57.8711433301
4	6	21	1	32	1370.33333333	50.8506457058
6	6	21	1	34	1477.66666667	59.7218995876
4	11	21	1	37	1587.33333333	49.4442136647
5	11	21	1	38	1602.66666667	57.1240382375
6	11	21	1	39	1625.66666667	52.786488217
4	11	25	1	41	1849.0	47.1150729336
4	11	30	1	46	2256.33333333	43.6920516265
6	11	30	1	48	2266.0	47.1104471991
5	11	32	1	49	2294.33333333	51.5272357902
6	11	32	1	50	2346.66666667	53.0172203922
4	14	32	1	51	2384.33333333	41.4476142896
5	14	32	1	52	2443.33333333	41.8665497688
12	11	32	1	56	2443.66666667	46.128655877
12	11	32	3	58	2467.33333333	41.0284586408
6	24	32	1	63	2470.33333333	45.4820265389
9	22	32	1	64	2475.66666667	51.1150474386
6	14	46	1	67	2929.66666667	42.3232750204
6	14	47	1	68	2966.33333333	44.608022467
9	14	46	1	70	3096.33333333	51.6733453855
9	14	47	1	71	3138.33333333	44.6488970105
6	20	46	1	73	3520.0	39.5278913435
6	20	47	1	74	3524.0	48.8687066099
6	24	47	1	78	3535.0	30.3963838214
9	24	47	1	81	3592.0	45.9504131707
9	24	47	5	85	3594.66666667	31.2219951637
9	20	60	1	90	4270.0	47.2877599066
12	20	60	1	93	4461.33333333	44.4065862652
9	24	60	1	94	4556.33333333	37.4167622563
12	39	60	1	112	4669.0	43.4636431929
55	39	60	17	171	4696.33333333	22.5241885954
