greeter	screener	dispenser	medic	resources	throughput	time
4	6	15	1	26	1106.66666667	60.0274473362
4	6	15	3	28	1112.33333333	44.6595462599
5	6	15	3	29	1132.0	46.5028670361
4	6	15	5	30	1116.0	43.8262060968
5	6	15	5	31	1129.33333333	45.3285914107
4	6	15	7	32	1120.66666667	43.539324581
4	11	15	3	33	1146.0	46.3959000151
9	6	15	3	33	1164.33333333	48.5910424456
11	6	15	3	35	1166.0	48.3600821724
4	6	25	1	36	1347.66666667	46.1585925622
4	6	15	12	37	1127.0	43.4386591737
5	6	25	1	37	1436.66666667	50.7009462852
4	6	25	3	38	1371.66666667	38.8386811534
5	6	25	3	39	1432.66666667	42.1230401474
4	6	25	6	41	1373.66666667	38.1806815572
5	6	25	5	41	1425.0	39.5741263106
4	11	25	1	41	1849.0	47.1150729336
4	11	25	3	43	1860.0	33.4465423824
4	11	25	6	46	1917.0	30.5395929123
4	11	33	3	51	2305.33333333	32.1995394191
5	11	33	3	52	2336.33333333	37.3550889785
4	11	33	5	53	2287.0	27.0830214822
5	11	35	3	54	2336.0	35.4277017472
4	11	33	7	55	2298.66666667	26.0399453246
4	11	35	6	56	2258.33333333	26.0024902562
5	11	35	5	56	2333.0	30.3348953806
9	11	33	3	56	2463.33333333	39.8429614848
5	11	35	7	58	2334.33333333	30.0832586859
9	11	35	3	58	2604.0	39.1953764073
11	11	35	1	58	2674.0	54.2229396469
4	11	38	6	59	2312.33333333	25.9922001859
4	11	33	12	60	2322.0	25.7482763337
9	11	35	5	60	2538.66666667	34.3567861595
11	11	38	1	61	2732.66666667	55.1791017445
9	11	35	7	62	2559.66666667	33.8043233822
4	23	33	3	63	2437.66666667	29.9132713436
11	11	35	6	63	2601.0	33.8792250604
11	11	35	7	64	2618.33333333	33.852511151
4	23	33	5	65	2415.66666667	25.1550411179
4	23	35	3	65	2448.66666667	30.1968142932
4	23	33	6	66	2378.0	24.5353526587
11	11	38	6	66	2730.33333333	32.8689425257
4	23	33	7	67	2392.33333333	24.3175940541
5	23	33	6	67	2463.33333333	28.7608365853
11	11	38	7	67	2718.66666667	32.6134694385
5	24	32	7	68	2463.33333333	28.1645374608
5	24	38	1	68	2830.66666667	41.9140706894
4	23	35	7	69	2438.66666667	24.0244046834
19	11	33	6	69	2479.0	31.4779331461
19	11	38	1	69	2873.33333333	39.0133594644
5	24	35	7	71	2631.33333333	26.8345216194
19	11	35	7	72	2686.33333333	28.7172663546
5	24	38	7	74	2879.33333333	24.4757076028
19	11	38	6	74	2908.0	28.5657664958
25	11	38	1	75	2916.33333333	44.0927478564
11	27	38	1	77	2975.0	48.3123922564
4	23	35	16	78	2434.66666667	23.6051699768
5	27	46	1	79	3039.33333333	40.7928710223
5	27	46	3	81	3083.33333333	29.7883284265
19	11	50	1	81	3216.66666667	40.1327051126
19	11	46	7	83	3207.0	24.7538040718
19	11	50	3	83	3221.0	29.1976421298
5	27	46	6	84	3068.0	22.6990671943
25	11	47	1	84	3227.0	36.0900427919
9	27	47	1	84	3634.0	42.633740561
5	27	46	7	85	3059.66666667	22.3905918706
11	27	46	1	85	3476.66666667	39.3094387187
19	11	50	7	87	3243.0	24.2573238605
9	27	50	1	87	3847.66666667	41.6992317474
25	11	46	7	89	3257.66666667	24.0380764776
9	27	46	7	89	3555.33333333	30.4012954879
5	27	46	12	90	3062.66666667	22.110369767
9	27	47	7	90	3597.0	29.0326824816
11	27	50	3	91	3874.33333333	44.528281531
9	27	50	6	92	3789.33333333	28.4562899609
9	27	55	1	92	4233.0	43.1903428299
25	11	50	7	93	3243.66666667	23.9047819934
9	27	50	7	93	3844.0	27.3926110127
9	27	55	3	94	4214.66666667	38.733073576
9	27	60	1	97	4608.0	43.2179916742
5	24	50	19	98	3077.0	22.3371674692
25	11	55	7	98	3177.0	23.6915038064
9	27	46	16	98	3495.0	26.0362988493
9	27	55	7	98	4175.0	29.046986484
25	11	47	16	99	3230.0	23.6077611586
9	27	47	16	99	3535.33333333	26.1344751973
11	27	60	1	99	4577.33333333	42.5071092646
9	27	60	6	102	4516.66666667	24.36375032
5	27	55	17	104	3074.66666667	22.2719302049
9	27	55	16	107	4253.0	22.9738877309
9	27	55	17	108	4186.33333333	22.7138132584
11	27	60	16	114	4552.0	23.9308818793
11	27	60	17	115	4560.33333333	23.9154489976
11	27	60	19	117	4563.33333333	23.9180341212
19	24	60	16	119	4533.33333333	23.131345071
9	40	60	17	126	4541.33333333	21.0559033398
9	39	60	19	127	4578.33333333	21.0824589151
46	39	60	1	146	4637.66666667	43.700223368
46	39	60	7	152	4584.0	32.4052402395
19	60	60	16	155	4615.0	18.4331640787
46	39	60	16	161	4657.66666667	22.4272119028
46	39	60	17	162	4696.33333333	22.5241885954
46	39	60	19	164	4652.66666667	22.4053115164
31	60	60	16	167	4550.66666667	18.1199613351
25	60	60	30	175	4556.66666667	17.8029644757
31	60	60	30	181	4586.0	17.4787909909
46	60	60	30	196	4595.33333333	17.87077163
