greeter	screener	dispenser	medic	resources	throughput	time
1	5	12	2	20	616.333333333	28.4266253004
2	5	12	2	21	889.666666667	43.2846574321
1	4	15	2	22	625.0	30.438793064
2	6	12	2	22	925.666666667	41.2357111101
1	5	12	5	23	616.0	28.4098122873
1	4	16	2	23	624.333333333	30.3868821597
1	6	15	2	24	623.333333333	28.7007376019
2	5	15	2	24	1054.66666667	34.4193665874
1	4	15	5	25	626.666666667	28.7133295322
2	6	15	2	25	1148.66666667	37.6892351778
1	4	15	6	26	625.333333333	28.5919016809
2	6	15	3	26	1119.0	31.598227354
1	5	19	2	27	617.666666667	28.4404544464
1	4	16	6	27	624.0	28.5156050481
2	6	15	5	28	1096.66666667	29.4508407965
2	6	15	6	29	1094.33333333	29.2137386618
2	6	19	2	29	1219.33333333	31.1862109105
1	4	19	6	30	625.333333333	28.5740196794
3	6	19	2	30	1269.33333333	41.8032596179
2	6	21	2	31	1202.0	28.4160377999
3	6	19	3	31	1272.66666667	36.2353788342
2	6	19	5	32	1230.66666667	27.2234273771
3	6	21	2	32	1280.66666667	41.676455736
3	6	19	5	33	1266.66666667	35.1004831259
3	6	21	3	33	1279.0	36.9432973069
2	6	21	5	34	1205.33333333	26.9725787366
3	10	19	2	34	1444.33333333	40.320613571
2	6	21	6	35	1203.33333333	26.9116698028
3	6	21	5	35	1295.0	34.8514442234
3	11	19	2	35	1433.0	38.0794167674
3	6	21	6	36	1297.0	34.7664623223
3	10	21	2	36	1600.66666667	35.2787154503
3	10	21	3	37	1588.33333333	30.4667406715
2	10	21	5	38	1214.0	26.6513981149
3	10	21	5	39	1604.66666667	29.4986629988
3	11	21	5	40	1583.66666667	29.0159276911
3	10	25	2	40	1796.33333333	32.9405250213
3	11	21	6	41	1566.66666667	28.756281802
3	11	25	2	41	1821.33333333	32.8684328169
3	11	21	7	42	1578.0	28.6924745353
3	10	27	2	42	1857.66666667	30.1271618338
3	10	25	5	43	1808.66666667	26.5566494619
3	11	25	5	44	1822.0	25.8300281094
3	11	25	6	45	1825.66666667	25.5863950207
3	11	25	7	46	1828.66666667	25.5770455715
3	14	27	2	46	1843.0	29.0405194445
3	11	27	6	47	1827.66666667	25.3166746424
3	10	27	7	47	1842.66666667	25.3787498144
3	11	30	3	47	1852.0	29.7408632898
3	11	27	7	48	1828.33333333	25.3120835367
3	10	30	5	48	1850.33333333	25.9108905321
3	14	27	5	49	1842.66666667	25.3282685335
3	11	30	5	49	1857.33333333	26.5443181499
3	14	27	6	50	1843.0	25.2415558833
3	11	30	6	50	1855.66666667	25.6095878196
3	14	30	3	50	1868.0	28.358249398
3	14	27	7	51	1845.0	25.1798433032
3	11	30	7	51	1855.66666667	25.3880673694
3	11	32	6	52	1846.33333333	25.2891645303
3	14	30	5	52	1864.66666667	25.6321547939
3	11	32	7	53	1848.0	25.2870283751
3	14	30	6	53	1861.33333333	25.3451511763
3	14	32	5	54	1856.33333333	25.1725654239
3	14	32	7	56	1859.0	25.1439818962
3	14	30	12	59	1864.0	25.2235137125
3	10	41	7	61	1841.66666667	25.1351416883
3	27	27	7	64	1847.66666667	25.1402372275
3	27	32	7	69	1854.33333333	25.0380122885
3	14	41	12	70	1861.66666667	25.1617876985
3	27	35	7	72	1849.0	24.9593456749
3	27	32	12	74	1852.0	25.0252951806
3	27	35	11	76	1849.0	24.9389009341
3	28	40	7	78	1850.0	25.0147073521
3	27	41	7	78	1854.66666667	25.033491735
3	21	46	11	81	1852.66666667	25.0019388132
3	28	41	12	84	1853.33333333	24.9979457348
3	21	40	54	118	1850.0	24.9934534253
