greeter	screener	dispenser	medic	resources	throughput	time
3	3	3	3	12	107.666666667	29.3340672049
6	3	3	3	15	210.333333333	28.2877097558
6	3	4	3	16	223.333333333	29.034508353
7	3	3	3	16	228.0	31.5543846058
7	3	4	3	17	242.0	29.4108868424
6	3	5	4	18	219.666666667	28.2704617291
6	4	4	4	18	224.0	28.6757592933
7	3	5	3	18	250.333333333	29.1284272574
8	3	4	3	18	267.0	31.0439726815
6	4	5	4	19	217.666666667	28.1980886323
7	3	7	3	20	255.333333333	28.3094656503
8	3	5	4	20	285.0	29.3927787776
7	4	7	3	21	250.666666667	28.1624161039
7	3	8	3	21	256.0	28.6056185444
8	3	7	3	21	281.666666667	28.9094787301
8	4	7	3	22	280.666666667	28.6948351062
7	3	9	4	23	256.333333333	28.6360102081
8	5	7	3	23	286.0	28.9346364128
7	4	9	4	24	253.0	28.27834419
7	4	10	3	24	253.0	28.27834419
8	5	6	5	24	269.333333333	28.6376408332
7	3	11	4	25	255.333333333	28.5850077935
7	5	11	6	29	252.333333333	28.2441939139
